Date,Temperature,Humidity,CPU
2013-08-21,80,32,206000.04
2013-08-22,70,54,99814.284
2013-08-23,73,48,235598.88
2013-08-24,72,43,236418.36
2013-08-25,74,41,270968.43
2013-08-26,74,47,238261.52
2013-08-27,78,40,262182.02
2013-08-28,78,36,101115.35
2013-08-29,80,26,140551.81
2013-08-30,78,30,172900.21
2013-08-31,76,36,129701.8
2013-09-01,69,55,160084.29
2013-09-02,75,47,882657.08
2013-09-03,80,33,226564.39
2013-09-04,78,36,102732.19
2013-09-05,76,37,45458.619
2013-09-06,80,31,197559
2013-09-07,78,31,188634.72
2013-09-08,73,32,133802.81
2013-09-09,72,58,171765.62
2013-09-10,62,89,123912.73
2013-09-11,60,99,143021.2
2013-09-12,60,100,277487.17
2013-09-13,64,87,705831.41
2013-09-14,64,73,264502.72
2013-09-15,56,96,190842.6
2013-09-16,61,84,250453.01
2013-09-17,68,55,162252.58
2013-09-18,72,36,375467.29
2013-09-19,60,53,243539.29
2013-09-20,58,58,250320.16
2013-09-21,63,48,250229.73
2013-09-22,66,47,148546.6
2013-09-23,58,49,170527.08
2013-09-24,58,43,106149.18
2013-09-25,60,48,346597.34
2013-09-26,55,55,228451.38
2013-09-27,47,92,131882.51
2013-09-28,52,43,218796.23
2013-09-29,58,36,240928.89
2013-09-30,68,29,185549.96
2013-10-01,60,41,152348.71
2013-10-02,60,47,56604.843
2013-10-03,51,66,66294.478
2013-10-04,39,87,34136.47
2013-10-05,46,45,352469.61
2013-10-06,52,37,182723.31
2013-10-07,58,44,187779.48
2013-10-08,62,36,288866.37
2013-10-09,54,51,182675.24
2013-10-10,52,75,234750.34
2013-10-11,52,39,334049.59
2013-10-12,47,73,217733.42
2013-10-13,47,71,172805.31
2013-10-14,46,65,171361.23
2013-10-15,38,62,190812.79
2013-10-16,40,66,246295.48
2013-10-17,40,64,189273.35
2013-10-18,38,80,154270.56
2013-10-19,48,34,230080.96
2013-10-20,44,63,164241.67
2013-10-21,45,57,210374.97
2013-10-22,52,43,207440.43
2013-10-23,52,48,181324.82
2013-10-24,43,73,204144.9
2013-10-25,50,54,192777.63
2013-10-26,50,48,184521.15
2013-10-27,53,36,201916.12
2013-10-28,42,83,157303.53
2013-10-29,34,93,222392.97
2013-10-30,37,90,228474.84
2013-10-31,42,40,134661.08
2013-11-01,42,51,255385.21
2013-11-02,46,47,126540.17
2013-11-03,52,36,125906.37
2013-11-04,36,53,173661.18
2013-11-05,37,43,134292.71
2013-11-06,38,32,70868.351
2013-11-07,42,48,30215.336
2013-11-08,49,29,195106.72
2013-11-09,47,51,181220.28
